Cell.type,ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL
T cell ,ENSG00000169684,41.883120569449034,-1.0811593568869065,0.17917511729372332,-6.034093200087335,1.598577881462544e-9,2.3145276286402352e-6,CHRNA5
Mono,ENSG00000211652,63.082436280123545,-6.222476985162139,1.0194954072491167,-6.103487020066249,1.0377899986359405e-9,4.344188934290047e-6,IGLV7-43
T cell ,ENSG00000211962,1665.9866817160039,3.0604363384668747,0.5199033529023186,5.886548569810591,3.943439062341405e-9,5.352725597245665e-6,IGHV1-46
Mono,ENSG00000211892,4985.322342157006,-2.7446569411038286,0.46651019537345784,-5.883380402665442,4.019705905200822e-9,1.402207409930887e-5,IGHG4
Mono,ENSG00000211933,389.12508198655024,-4.256311784927117,0.7409679357762684,-5.744259069008202,9.232434589959496e-9,2.415435699598153e-5,IGHV6-1
Mono,ENSG00000211949,1626.5110433582083,-2.8708990621182333,0.49920961653170104,-5.750888939327803,8.87754208828087e-9,2.415435699598153e-5,IGHV3-23
T cell ,ENSG00000187912,133.41134712463577,2.146490159833055,0.3868867781503502,5.548109372191818,2.8877521898078195e-8,3.689188356367425e-5,CLEC17A
Mono,ENSG00000211893,3449.953144092227,-2.321271145307807,0.4179196973816963,-5.554347306075246,2.7865096811237946e-8,6.480183069546781e-5,IGHG2
T cell ,ENSG00000136997,2129.2286297362207,0.4782893571829975,0.08827513241183291,5.41816640899068,6.021335999692643e-8,7.265076402295824e-5,MYC
T cell ,ENSG00000197102,2459.72866919484,-0.17433637068626862,0.03227152169337909,-5.402173852931018,6.583809250872416e-8,7.525640490023533e-5,DYNC1H1
Mono,ENSG00000211592,39735.12870635422,-2.1926374338764654,0.40044331722851106,-5.475525098163262,4.362161267936378e-8,8.300003212537126e-5,IGKC
Mono,ENSG00000253755,443.4977000520495,-2.241651987122219,0.40904522889481304,-5.480205680870233,4.248316723907518e-8,8.300003212537126e-5,NA
Mono,ENSG00000163751,145.86110487644464,3.586000127520531,0.6578547427837749,5.451051568536286,5.007284657064641e-8,8.733538989363579e-5,CPA3
Mono,ENSG00000089169,88.20966722330334,1.2130501360371482,0.22345282716258225,5.4286631833686485,5.677771861680934e-8,9.141212697306304e-5,RPH3A
T cell ,ENSG00000187689,136.32009490399906,-3.322121585392519,0.6255365235555611,-5.310835515262193,1.0912378680238729e-7,1.089437598934276e-4,AMTN
T cell ,ENSG00000189136,209.18492415919448,-0.4352700778014298,0.08199052494953957,-5.308785107417148,1.1035835333158705e-7,1.089437598934276e-4,UBE2Q2P1
T cell ,ENSG00000240382,683.5331614351711,4.389640287950654,0.8251841745786167,5.319588551479723,1.0400218441953104e-7,1.089437598934276e-4,IGKV1-17
T cell ,ENSG00000119866,135.8338073068907,1.890754110220243,0.357567665791652,5.287821833761529,1.2378145268106988e-7,1.1688198214467285e-4,BCL11A
Mono,ENSG00000213846,120.04474499041208,-0.8384979089765363,0.15743776056997966,-5.325900888966415,1.0045389741558887e-7,1.5017857663630535e-4,NA
T cell ,ENSG00000211663,718.6665933921953,-2.7126801020698696,0.5207669769305631,-5.209009446141527,1.8985144904531858e-7,1.717997404319262e-4,IGLV3-19
T cell ,ENSG00000224137,20.186494992310244,3.0174311674864414,0.582190831432963,5.1828902218531185,2.1847364052738854e-7,1.8979242099895297e-4,LINC01857
Mono,ENSG00000123689,4297.27817750542,0.9947442490243438,0.19006156668381666,5.2338001121456825,1.6606003170025185e-7,2.317090975657514e-4,G0S2
T cell ,ENSG00000211967,844.5246960515854,4.599234671543282,0.9004921229049189,5.1074679661899784,3.265044273385315e-7,2.7273165972839335e-4,IGHV3-53
T cell ,ENSG00000177455,224.20654722673453,2.2790867634962426,0.44861335170955136,5.0802918700730215,3.768554140844967e-7,3.031313290032259e-4,CD19
Mono,ENSG00000093134,106.58622516177098,0.9225785330379194,0.17916865103286306,5.149218502899262,2.6157402084948347e-7,3.2204377978704054e-4,VNN3
Mono,ENSG00000125538,26946.417783999324,1.0007109723107772,0.19410383024643213,5.155544695023717,2.528947091374909e-7,3.2204377978704054e-4,IL1B
T cell ,ENSG00000241566,973.5362546750023,7.0498285255885795,1.4049076456546663,5.018001394891308,5.221179809715886e-7,4.0497708252646287e-4,IGKV2D-24
Mono,ENSG00000130340,1419.8105891711386,-0.41307240248325283,0.08163899894660065,-5.059743600646547,4.1982061900177065e-7,4.39342277785353e-4,SNX9
Mono,ENSG00000211896,29622.665753381814,-2.1263071348469187,0.4186096211208454,-5.079451182114829,3.78526774392389e-7,4.39342277785353e-4,IGHG1
Mono,ENSG00000224041,224.70464298289292,-3.8101240741423283,0.7528026990058589,-5.0612518780470985,4.1651252875475816e-7,4.39342277785353e-4,IGKV3D-15
Mono,ENSG00000158966,9.762830869085349,1.7718140839646979,0.35182753071950457,5.036030239990745,4.752855069046198e-7,4.5216934815971334e-4,CACHD1
Mono,ENSG00000242076,556.1752523459468,-2.6313121457675726,0.5216823516106508,-5.0438971869445375,4.561444603441594e-7,4.5216934815971334e-4,IGKV1-33
Mono,ENSG00000255587,16.899895019590005,2.0632934312662647,0.41255350804251506,5.001274722050443,5.695248898359939e-7,5.182676497507544e-4,RAB44
Mono,ENSG00000145287,459.4396182305407,1.0936102020598226,0.2196189948129242,4.979579307297082,6.372263675861341e-7,5.54200543163142e-4,PLAC8
Mono,ENSG00000162971,253.12020406299652,0.410048928193283,0.08246828762411228,4.972201315277363,6.619691151016984e-7,5.54200543163142e-4,TYW5
Mono,ENSG00000241755,380.2933906323031,-3.1795541808007814,0.6436848631662355,-4.9396130975657915,7.827773173245092e-7,6.301357404462299e-4,IGKV1-9
Mono,ENSG00000239951,1292.4940449525936,-2.20570958901432,0.44791261991446146,-4.9244193866106025,8.461119962802077e-7,6.558934845238796e-4,IGKV3-20
T cell ,ENSG00000158473,20.66463189553987,3.5486144313470755,0.7238029929344191,4.902735227662427,9.451133561034223e-7,7.077921333742802e-4,CD1D
Mono,ENSG00000110934,3684.5674816284095,0.3354898658575817,0.06846596729865334,4.9000967793845875,9.57894582858823e-7,7.160262006869702e-4,BIN2
Mono,ENSG00000124875,5.258299783612031,-2.0052495322008967,0.41008561300379204,-4.889831461076773,1.0092234961846088e-6,7.283809577635815e-4,CXCL6
Mono,ENSG00000073737,1282.91818417126,-0.7600686704531481,0.15687879871211688,-4.8449419341100715,1.2664871294633809e-6,0.00085508308450543745,DHRS9
Mono,ENSG00000227825,109.23770337926257,0.7717610864393879,0.15918186974020984,4.8482976591425135,1.2452545688130107e-6,0.00085508308450543745,SLC9A7P1
Mono,ENSG00000243466,1421.9353796772157,-2.3792951594013387,0.4921994675912229,-4.8340059590990245,1.3381257772084304e-6,8.75217891155389e-4,IGKV1-5
Fibro,ENSG00000261008,27.90042366294118,-0.5608034333033106,0.1056632773598625,-5.307458251492195,1.1116445572494494e-7,0.0010019993490860786,LINC01572
T cell ,ENSG00000197385,33.952834349198554,2.0220343596007884,0.41968800649587473,4.817946494310086,1.4504325122554189e-6,0.0010500164433721061,ZNF860
T cell ,ENSG00000211964,239.7724448944248,2.9216760032813283,0.6076576852153823,4.808095206178047,1.5237519827226822e-6,0.001067511147121652,IGHV3-48
Mono,ENSG00000240382,121.86654573442428,-3.437407043796255,0.7195305929189292,-4.777291025044093,1.7767254034975918e-6,0.001126874627127412,IGKV1-17
Mono,ENSG00000075391,466.2239066064616,-0.4644656931113407,0.09755012738513825,-4.7613027841325195,1.9234720838109654e-6,0.0011840667857106915,RASAL2
Mono,ENSG00000140284,9.593879627871875,1.9743202963533857,0.4159224092708536,4.746847614713841,2.0661149202447187e-6,0.0012355367223063419,SLC27A2
Mono,ENSG00000260078,73.79443482808703,0.9176969338416101,0.1937523838510721,4.736442027712022,2.1750292048282915e-6,0.001264537812696004,LOC643802
Mono,ENSG00000211673,500.106075132285,-2.3605305106558934,0.49995337498334613,-4.721501301465411,2.3411013298954896e-6,0.001289453969334542,NA
Mono,ENSG00000211897,2196.877536641516,-1.8481347496506675,0.3910402235208532,-4.72620113862049,2.28759063663057e-6,0.001289453969334542,IGHG3
T cell ,ENSG00000232434,36.01686486613725,-0.5858529197976687,0.12339299215943093,-4.7478621722756555,2.055780464768386e-6,0.001395232504182494,AJM1
T cell ,ENSG00000272398,261.52224174006915,2.283772635192537,0.4835440759132204,4.7229875185202275,2.3240511793404072e-6,0.0015295073791792414,CD24
Mono,ENSG00000172794,90.46622697355718,1.1928044774450661,0.25513318748247876,4.675222730586477,2.9363475576900678e-6,0.0015758398559603363,RAB37
T cell ,ENSG00000231331,125.55702222919462,3.4894957862557408,0.7415375321746734,4.705757476661033,2.529250580826317e-6,0.0016155960033642927,NA
Mono,ENSG00000234871,20.911467403601907,1.4193214205850797,0.30446203520431114,4.661735311703593,3.1355428964962898e-6,0.0016406728205916837,NA
T cell ,ENSG00000117322,90.73284795566663,1.4266591051519557,0.30557075902803105,4.668833855994328,3.029142169320066e-6,0.0018274141564803667,CR2
T cell ,ENSG00000243264,24.464684045898867,3.4681145535837716,0.7420762819534668,4.673528366186545,2.9606879206835222e-6,0.0018274141564803667,IGKV2D-29
Mono,ENSG00000282122,98.59153927968512,-3.677695973790672,0.794416122105869,-4.62943270088942,3.666688666665426e-6,0.0018717998486172528,IGHV7-4-1
Mono,ENSG00000125844,1183.8216972639702,-0.21966054699106352,0.04751261441121897,-4.623204799675177,3.778563309161965e-6,0.0018829840490657125,RRBP1
T cell ,ENSG00000247982,255.717751134785,1.7509994615024225,0.37705837199286646,4.643841886464066,3.419893249416137e-6,0.0020073849078599913,LINC00926
Mono,ENSG00000167772,221.3846670426177,-1.4023293800534833,0.30486929075723224,-4.599772501095099,4.2295258855857255e-6,0.0020586971345420754,ANGPTL4
Mono,ENSG00000280411,802.4387232620281,-2.5802670295965378,0.5623426591944868,-4.588424846325148,4.466030296803272e-6,0.0021244094116384653,IGHV1-69D
Mono,ENSG00000243290,842.0210763990488,-2.1445769927583505,0.46975596878425663,-4.565300145751387,4.9878018191839026e-6,0.002319882046122646,IGKV1-12
T cell ,ENSG00000100721,39.182374132532956,1.652812831193405,0.35958395435056384,4.596458799666163,4.297318989326169e-6,0.00245603088974173,TCL1A
T cell ,ENSG00000223350,16.989576922770084,3.978303895336729,0.8668060785564862,4.589612364004067,4.440699025585421e-6,0.002472900036863184,IGLV9-49
Mono,ENSG00000175857,1049.3532284755381,0.6268913752639914,0.1382154403580539,4.535610302582682,5.743714976636279e-6,0.002613390314369507,GAPT
Mono,ENSG00000213694,184.55570041162298,0.9466880608908271,0.20900419561074607,4.529517018184455,5.911867260203749e-6,0.002632667696937542,S1PR3
T cell ,ENSG00000223609,12.270183561653957,2.3969795597988233,0.5244484755072407,4.570476742220466,4.8661592777390935e-6,0.002642081179848441,HBD
Mono,ENSG00000184221,25.506668885770175,1.5163013902617448,0.335191460620531,4.523687409740858,6.077145910216772e-6,0.0026498888312674385,OLIG1
Mono,ENSG00000169436,93.11996333820848,-1.4411232584869147,0.31941979482798577,-4.511690514556212,6.431298087791136e-6,0.0027470830403564994,COL22A1
Mono,ENSG00000171700,2750.6073868449375,0.24880273733341476,0.055223243791973346,4.505398818487697,6.6248400324845884e-6,0.0027731580375980488,RGS19
Mono,ENSG00000173621,60.7008124647741,-0.5792296734976852,0.12872944359552638,-4.499589661225062,6.808475864928928e-6,0.0027857434299824587,LRFN4
Mono,ENSG00000175463,194.72549472783206,0.7791720891103505,0.17339732764560833,4.4935645761671275,7.00407688644313e-6,0.0027857434299824587,TBC1D10C
Mono,ENSG00000270265,10.696594079729648,0.723295834027246,0.16101699421207863,4.4920465542573655,7.054199798808901e-6,0.0027857434299824587,NA
Mono,ENSG00000099985,5967.796674117375,0.8436695027459556,0.18811584241999313,4.484840255305842,7.296858038374463e-6,0.0027898723526961163,OSM
Mono,ENSG00000211947,656.157064253546,-2.6426926718459893,0.5893818861935733,-4.483837616580632,7.331246029540678e-6,0.0027898723526961163,IGHV3-21
Mono,ENSG00000179348,18.443494653162027,1.797344989378915,0.4019648275194718,4.471398655624537,7.770968370067124e-6,0.0029043994283125874,GATA2
Mono,ENSG00000211644,790.6008678943972,-2.2266833959142804,0.4987584651869053,-4.464452337826187,8.027381494756315e-6,0.002947598152372801,IGLV1-51
T cell ,ENSG00000235621,23.7870923805602,2.044716296131284,0.45018728858382323,4.541923657070485,5.574322891526925e-6,0.002952759623370287,LINC00494
T cell ,ENSG00000198756,97.76630600332483,-0.8504460744784507,0.1883576223352759,-4.515060574318887,6.329867018526791e-6,0.0032466668936522295,COLGALT2
T cell ,ENSG00000211674,166.11267900070396,-4.664603905569149,1.0342601637207423,-4.510087567124577,6.480087112628483e-6,0.0032466668936522295,NA
T cell ,ENSG00000254521,10.991110946275684,2.905540230476017,0.6446847123737068,4.506916597693031,6.577647265894563e-6,0.0032466668936522295,SIGLEC12
Mono,ENSG00000135318,93.98218437821996,-1.1043602216849122,0.24968376514811186,-4.423035758972187,9.732362553427854e-6,0.0035120404869525,NT5E
Mono,ENSG00000244437,2036.7444837848002,-2.4320752838470385,0.5503594955058594,-4.419066635003022,9.912808260993715e-6,0.003516526727162686,IGKV3-15
Mono,ENSG00000087077,432.6204760382482,-0.3681383016587168,0.08381827348991247,-4.392100747613493,1.1226065399151153e-5,0.003614793058526671,TRIP6
Mono,ENSG00000100385,13.725454989462797,-1.3218665111197223,0.30077488996336044,-4.394869901808454,1.1083911490731315e-5,0.003614793058526671,IL2RB
Mono,ENSG00000123131,1808.2048086790892,-0.30990359476364465,0.07039139111967019,-4.402578068627559,1.0697207826708452e-5,0.003614793058526671,PRDX4
Mono,ENSG00000130827,284.8747427860877,-0.5242233210211359,0.11918216797353719,-4.398504658327181,1.0899928759181394e-5,0.003614793058526671,PLXNA3
Mono,ENSG00000142208,779.7897247854712,-0.22570742747870198,0.05119784166255369,-4.408534034820169,1.0407266729039906e-5,0.003614793058526671,AKT1
Mono,ENSG00000242371,2357.4214967891853,-2.854187965330437,0.6496120598272817,-4.393680693196038,1.1144747425296609e-5,0.003614793058526671,IGKV1-39
Fibro,ENSG00000226145,0.9100277094654977,6.648919707422377,1.32712767719802,5.010007568721886,5.442789485025991e-7,0.0036794617616146955,KRT16P6
T cell ,ENSG00000117036,2269.5851017904306,0.48503753810210076,0.10848915663160359,4.4708388668661305,7.791338552398025e-6,0.0037602731262440067,ETV3
T cell ,ENSG00000211941,518.216448116488,2.9594953207510013,0.6668531130699111,4.438001806914764,9.07978572228511e-6,0.004286843180795392,IGHV3-11
Mono,ENSG00000259687,111.9766657218424,0.7413009606873989,0.1706789485973649,4.343247757145159,1.403916530037392e-5,0.004452117117224638,NA
Mono,ENSG00000008952,2894.735986959901,-0.16547321937817094,0.03812907407652635,-4.339817406687101,1.426011560429474e-5,0.004454689844744611,SEC62
Mono,ENSG00000111981,106.70414108194042,0.7323434039463811,0.16899807412160753,4.3334423054987115,1.4679576400461176e-5,0.004518287265612536,ULBP1
Mono,ENSG00000187689,35.48332641988514,-2.0651009938446627,0.47809634999207007,-4.319424304073678,1.5643675431426866e-5,0.0047452482141994825,AMTN
Mono,ENSG00000260868,12.867439450331364,-1.1999583934664744,0.278297097924573,-4.3117891002647095,1.6193885992531988e-5,0.004841971911767064,LINC01960
Mono,ENSG00000211900,51.741434198261864,-2.208885187360381,0.5131119291584957,-4.304879816345248,1.6707641372347198e-5,0.004925224421453899,IGHJ6
T cell ,ENSG00000119280,299.7425090644626,-0.5996328398128404,0.13631427042603012,-4.3988999679841045,1.0880095854215608e-5,0.004941245482849512,C1orf198
T cell ,ENSG00000211972,61.31411135882625,3.201374630279807,0.7286434280657386,4.393609421247641,1.1148403566609544e-5,0.004941245482849512,IGHV3-66
T cell ,ENSG00000253239,598.6323739449415,6.446367582578085,1.4668439593079103,4.394719384889191,1.1091593871255686e-5,0.004941245482849512,IGLVI-70
Fibro,ENSG00000205777,26.981123256853138,1.5726036999066066,0.3204789174656837,4.9070425984417465,9.245995711750464e-7,0.005000419400828886,GAGE1
T cell ,ENSG00000159433,418.496997725277,-0.36400998793822364,0.0829930607894755,-4.386029199014484,1.1543863184111752e-5,0.0050141924126507805,STARD9
Mono,ENSG00000253998,89.61419394922196,-5.642640194039056,1.315892079921352,-4.288072160428463,1.802305473541611e-5,0.005167431994688482,IGKV2-29
Mono,ENSG00000282639,181.27446256914084,-3.808015819190499,0.8874859287119937,-4.290790080150413,1.780385536728798e-5,0.005167431994688482,IGHV3-64D
T cell ,ENSG00000110628,429.90167759123585,-0.3277538751244998,0.07494273991397853,-4.3733906112947745,1.223315549645577e-5,0.005209405315137773,SLC22A18
Mono,ENSG00000254395,23.678316825156745,-3.0265530735658497,0.7068679738292896,-4.281638418515718,1.8552226478421118e-5,0.0052472716242345134,IGHV4-55
T cell ,ENSG00000175857,144.6359193156389,1.359186604608261,0.31122800003886636,4.3671732763071605,1.258648730350943e-5,0.005251535989456584,GAPT
T cell ,ENSG00000187240,241.10376714945437,-0.7359635949968774,0.1686740931798095,-4.363228407650768,1.2815701604254488e-5,0.005251535989456584,DYNC2H1
Mono,ENSG00000204463,845.1518237572495,-0.2593642195247111,0.0606655308945205,-4.275314428149803,1.908677269070518e-5,0.0053264820322194584,BAG6
Mono,ENSG00000241163,742.6972157046202,0.6558035716038553,0.15359996887430943,4.269555367817151,1.9586302560081537e-5,0.005393964639243507,LINC00877
T cell ,ENSG00000174123,175.97252432044772,1.5658491789952578,0.3597383529189992,4.352744616440254,1.3444373033449793e-5,0.005407127658156714,TLR10
Mono,ENSG00000198744,524.9308389567132,-1.449736297460708,0.34055276050345623,-4.257009384735246,2.071796620086455e-5,0.005631519903689546,MTCO3P12
Mono,ENSG00000105223,14411.343936240813,-0.3924860327755231,0.09240167291835936,-4.247607433712812,2.1606556204423837e-5,0.0057977592481870625,PLD3
Mono,ENSG00000241351,1506.5440043213446,-2.1775049148509393,0.5157605280285864,-4.221930133300642,2.42219196669556e-5,0.006417275678852921,IGKV3-11
Mono,ENSG00000275342,99.4874847260348,-0.7055239489424083,0.1674275359330068,-4.213906302871897,2.5099144317610798e-5,0.006566563632094925,PRAG1
T cell ,ENSG00000110848,110665.61717538691,0.33233002091245634,0.07723255280902792,4.3029785864285115,1.6851714292402165e-5,0.0066542823818616405,CD69
T cell ,ENSG00000112232,8.491902418750131,2.3754245026658727,0.5540023592163342,4.287751600960756,1.804907661374307e-5,0.0069998186767369994,KHDRBS2
T cell ,ENSG00000165168,360.23939971647724,1.6288136833361726,0.3803313810922224,4.282617118415531,1.8470785337375112e-5,0.007037693262405485,CYBB
T cell ,ENSG00000211938,909.9599533885724,3.0685382904963343,0.7179872487046743,4.273806110111711,1.9216415525316832e-5,0.007195553661703982,IGHV3-7
Mono,ENSG00000169733,151.8717214911969,-0.3688211679158845,0.08805527978194097,-4.18851849462325,2.8078143161285704e-5,0.007255253535379132,RFNG
Mono,ENSG00000107816,291.3329885977062,-0.33612582293486065,0.0804560446955941,-4.17775723634681,2.9439762689742908e-5,0.007423785940919507,LZTS2
Mono,ENSG00000225511,7.630135990533151,1.2252181831391638,0.29321253957877447,4.178600904651954,2.933078603792276e-5,0.007423785940919507,NA
Mono,ENSG00000276073,60.719159406608036,0.568450465586359,0.13663360672296543,4.160400059839843,3.1769061338660124e-5,0.007915791116882814,NA
Mono,ENSG00000123329,2393.2842918968236,0.20253917570257488,0.04886531039785108,4.144845782284887,3.4004248116823895e-5,0.008252039829681987,ARHGAP9
Mono,ENSG00000154153,167.56868179392546,-0.9160154635296726,0.2211074654289642,-4.142851810781411,3.4301360018267215e-5,0.008252039829681987,RETREG1
Mono,ENSG00000198736,841.8210137295239,0.4706826791057065,0.113472848697274,4.147976229638922,3.35427215489063e-5,0.008252039829681987,MSRB1
Mono,ENSG00000140287,39.29428469777706,2.2478107767804922,0.5430853036696843,4.138964471311963,3.48876967420555e-5,0.008297721509218429,HDC
Mono,ENSG00000101363,602.2704297248669,-0.17115223862551057,0.04138612475526814,-4.135498059738588,3.541856077625996e-5,0.008323981461220901,MANBAL
Mono,ENSG00000149534,41.64183940174603,1.3393874693683896,0.32434979487735655,4.129453727186231,3.636261748641014e-5,0.008323981461220901,MS4A2
Mono,ENSG00000174231,1637.2768623343823,-0.33353156405702633,0.08070620256869492,-4.132663332451225,3.5858377775456365e-5,0.008323981461220901,PRPF8
Mono,ENSG00000185825,5594.111019779612,-0.197378690784387,0.04781429356603428,-4.128026915461915,3.658892949987209e-5,0.008323981461220901,BCAP31
Mono,ENSG00000116761,71.84576908032015,0.6455175456048052,0.15664864887472316,4.120798680626003,3.775612420131843e-5,0.008475133883042232,CTH
Mono,ENSG00000211648,931.2715937731986,-2.331391169218893,0.5660183239096693,-4.118932322040795,3.8063190874628275e-5,0.008475133883042232,IGLV1-47
T cell ,ENSG00000117691,367.110402398174,-0.5101642208502536,0.12070215338344378,-4.226637276549456,2.372095802174142e-5,0.008586196105269669,NENF
T cell ,ENSG00000153064,618.6071617306756,2.1443260466291614,0.5072577644165137,4.227290732741622,2.3652197664687115e-5,0.008586196105269669,BANK1
Mono,ENSG00000106853,585.2317048014642,-0.34801252775573094,0.08475296788876853,-4.106198714037595,4.0222349586855e-5,0.008769310175550783,PTGR1
Mono,ENSG00000164292,165.20270735451328,-0.46272744257352993,0.11268375682869426,-4.106425412111385,4.018291340794709e-5,0.008769310175550783,RHOBTB3
Mono,ENSG00000196367,386.3058739791878,-0.3446680001701851,0.08404578472619623,-4.100955226880707,4.1144817081677245e-5,0.008877948675458812,TRRAP
Mono,ENSG00000211675,2127.6231030747063,-1.9113594704351795,0.4665609124314929,-4.096698672149979,4.190838344197894e-5,0.008950433320822645,IGLC1
Mono,ENSG00000159314,1884.3718094324677,0.2939369531782516,0.07183564716452108,4.091797941279273,4.28041543812486e-5,0.008958909511995333,ARHGAP27
Mono,ENSG00000188404,2033.9286947859362,0.8862745365833135,0.21651080324210717,4.093442559502501,4.250154009937164e-5,0.008958909511995333,SELL
Mono,ENSG00000261221,15.83393515298021,-0.6684774679219869,0.1634913874044325,-4.088762585813517,4.336804340554177e-5,0.008987060876019696,ZNF865
Mono,ENSG00000211941,242.1345211602243,-2.3362997575301816,0.5723045237035834,-4.082266801616674,4.4598554662217213e-5,0.009151448520394179,IGHV3-11
Mono,ENSG00000074706,157.57068250704572,0.8548093320956915,0.210220617367124,4.066248795202014,4.777593122230287e-5,0.009708254761968923,IPCEF1
Mono,ENSG00000186354,22.68227899708378,0.9865252841657063,0.24313626314406653,4.057499574142737,4.960090768219701e-5,0.009982182671042148,NA
Mono,ENSG00000242550,11.616065306325702,1.082078429162344,0.2669469306627101,4.053533885840253,5.04496883307905e-5,0.01005630454060424,SERPINB10
T cell ,ENSG00000197629,185.0083470482031,1.6585338185260259,0.39656832770065636,4.18221452061584,2.8868338661020002e-5,0.01027807506623004,MPEG1
Mono,ENSG00000115310,2974.1702511868293,-0.2563068590553318,0.06338215508366996,-4.043833137528765,5.258435010850843e-5,0.010294170639954175,RTN4
Mono,ENSG00000211593,35.52661036557934,-2.4785036010450443,0.6129380405152219,-4.043644605516195,5.262667264572846e-5,0.010294170639954175,IGKJ5
Mono,ENSG00000103512,543.2787596911551,-0.3160921064539123,0.0783014357480705,-4.036862203535028,5.4170864689228386e-5,0.010387654610209279,NOMO1
Mono,ENSG00000120742,6766.911513888819,0.25894762819345324,0.06416766927612276,4.035484397589137,5.448976077454565e-5,0.010387654610209279,SERP1
Mono,ENSG00000185112,66.0980251249902,0.8299017731507602,0.20570608103917115,4.0344056381723,5.4740682487618856e-5,0.010387654610209279,FAM43A
Mono,ENSG00000198939,8.813814525736676,-2.008178349395102,0.49794741945573756,-4.032912454070081,5.508980705844386e-5,0.010387654610209279,ZFP2
T cell ,ENSG00000070019,13.932928753050662,3.8714584411862845,0.9272665199455412,4.175130189552899,2.978156865159043e-5,0.010432195289923242,GUCY2C
Mono,ENSG00000211965,13.803090036660198,-2.048210758444901,0.5087409290176439,-4.026038876801017,5.672431455083347e-5,0.010600356281687004,IGHV3-49
Mono,ENSG00000100852,705.0395107296771,-0.3795346480183464,0.09434728951217691,-4.022740345596912,5.752490338736735e-5,0.010654833875199988,ARHGAP5
T cell ,ENSG00000243466,3692.1418199270643,-2.441113436142555,0.5861885993440057,-4.16438231462428,3.121966067454511e-5,0.010762358579837629,IGKV1-5
T cell ,ENSG00000096696,10.807830723534702,1.634720854249949,0.39336058973766524,4.155781989599301,3.2417683341236045e-5,0.010831496104691762,DSP
